Module Code,Module Title,Variant,Module Code and Title,Is module new in 2023,2023-24 requested,2023-24 recruited,2022-23 requested,2022-23 recruited,2021-22 requested,2021-22 recruited,Notes
COMP0050,Machine Learning with Applications in Finance,,COMP0050 Machine Learning with Applications in Finance,FALSE,60,0,,0,60,60,
COMP0051,Algorithmic Trading,,COMP0051 Algorithmic Trading,FALSE,80,80,65,65,65,40,
COMP0053,Affective Computing and Human-Robot Interaction,,COMP0053 Affective Computing and Human-Robot Interaction,FALSE,90,65,90,90,80,80,
COMP0054,Computer Security I,,COMP0054 Computer Security I,FALSE,120,80,160,120,160,0,
COMP0055,Computer Security II,,COMP0055 Computer Security II,FALSE,80,80,80,80,80,80,
COMP0056,People and Security,,COMP0056 People and Security,FALSE,102,102,80,80,0,0,
COMP0057,Research in Information Security,,COMP0057 Research in Information Security,FALSE,100,0,100,82,100,150,
COMP0059,Information Security Management,,COMP0059 Information Security Management,FALSE,110,50,80,80,80,80,
COMP0060,Malware,,COMP0060 Malware,FALSE,100,0,145,145,145,73,
COMP0061,Privacy Enhancing Technologies,,COMP0061 Privacy Enhancing Technologies,FALSE,80,0,80,80,80,80,
COMP0063,"Philosophy, Politics and Economics of Security and Privacy",,"COMP0063 Philosophy, Politics and Economics of Security and Privacy",FALSE,60,30,60,60,60,50,
COMP0064,MSc Information Security Dissertation,,COMP0064 MSc Information Security Dissertation,FALSE,60,60,60,60,0,0,
COMP0066,Introductory Programming,,COMP0066 Introductory Programming,FALSE,135,135,230,240,240,230,
COMP0067,App Engineering,,COMP0067 App Engineering,FALSE,180,68,190,119,190,128,
COMP0068,Computer Architecture and Operating Systems,,COMP0068 Computer Architecture and Operating Systems,FALSE,93,0,60,5,60,40,
COMP0070,Algorithmics,,COMP0070 Algorithmics,FALSE,40,25,32,32,32,32,
COMP0071,Software Engineering,,COMP0071 Software Engineering,FALSE,25,0,50,25,50,55,
COMP0073,MSc Computer Science Project,,COMP0073 MSc Computer Science Project,FALSE,No data found,No data found,,0,0,0,
COMP0075,Financial Market Modelling and Analysis,,COMP0075 Financial Market Modelling and Analysis,FALSE,No data found,No data found,,0,80,80,
COMP0076,MSc Financial Risk Management Project,,COMP0076 MSc Financial Risk Management Project,FALSE,180,180,,0,0,0,
COMP0077,MSc Computational Finance Project,,COMP0077 MSc Computational Finance Project,FALSE,No data found,No data found,,0,0,0,
COMP0078,Supervised Learning,,COMP0078 Supervised Learning,FALSE,300,300,412,390,412,412,
COMP0080,Graphical Models,,COMP0080 Graphical Models,FALSE,60,60,60,62,60,0,
COMP0081,Applied Machine Learning,,COMP0081 Applied Machine Learning,FALSE,160,0,240,40,240,150,
COMP0082,Bioinformatics,,COMP0082 Bioinformatics,FALSE,No data found,No data found,,0,0,0,
COMP0083,Advanced Topics in Machine Learning,,COMP0083 Advanced Topics in Machine Learning,FALSE,170,120,140,140,140,245,
COMP0084,Information Retrieval and Data Mining,,COMP0084 Information Retrieval and Data Mining,FALSE,210,0,210,230,210,204,
COMP0085,Approximate Inference and Learning in Probabilistic Models,,COMP0085 Approximate Inference and Learning in Probabilistic Models,FALSE,140,60,140,90,140,0,
COMP0086,Probabilistic and Unsupervised Learning,,COMP0086 Probabilistic and Unsupervised Learning,FALSE,140,90,140,110,140,108,
COMP0087,Statistical Natural Language Processing,,COMP0087 Statistical Natural Language Processing,FALSE,240,0,300,310,300,300,
COMP0088,Introduction to Machine Learning,,COMP0088 Introduction to Machine Learning,FALSE,260,240,244,254,255,350,
COMP0089,Reinforcement Learning,,COMP0089 Reinforcement Learning,FALSE,322,0,322,239,322,146,
COMP0091,MSc Machine Learning Project,,COMP0091 MSc Machine Learning Project,FALSE,No data found,No data found,,0,0,0,
COMP0098,MSc Computational Statistics and Machine Learning Project,,COMP0098 MSc Computational Statistics and Machine Learning Project,FALSE,No data found,No data found,,0,0,0,
COMP0101,Requirements Engineering and Software Architecture,,COMP0101 Requirements Engineering and Software Architecture,FALSE,80,0,80,20,80,40,
COMP0102,Software Systems Integration,,COMP0102 Software Systems Integration,FALSE,140,0,140,35,140,35,
COMP0103,Validation and Verification,,COMP0103 Validation and Verification,FALSE,158,134,147,150,147,115,
COMP0104,Software Development Practice,,COMP0104 Software Development Practice,FALSE,40,40,60,60,60,0,
COMP0105,Financial Institutions and Markets,,COMP0105 Financial Institutions and Markets,FALSE,45,0,60,0,60,60,
COMP0108,Research Methods in Software Engineering,,COMP0108 Research Methods in Software Engineering,FALSE,80,80,80,80,80,80,
COMP0110,MSc Software Systems Engineering Research Project,,COMP0110 MSc Software Systems Engineering Research Project,FALSE,No data found,No data found,,0,0,0,
COMP0111,MSc Software Systems Engineering Group Project,,COMP0111 MSc Software Systems Engineering Group Project,FALSE,No data found,No data found,,0,0,0,
COMP0113,Virtual Environments,,COMP0113 Virtual Environments,FALSE,160,160,140,140,180,200,
COMP0114,Inverse Problems in Imaging,,COMP0114 Inverse Problems in Imaging,FALSE,120,120,120,120,105,160,
COMP0118,Computational Modelling for Biomedical Imaging,,COMP0118 Computational Modelling for Biomedical Imaging,FALSE,100,100,80,80,80,80,
COMP0119,Acquisition and Processing of 3D Geometry,,COMP0119 Acquisition and Processing of 3D Geometry,FALSE,140,120,160,120,0,0,
COMP0120,Numerical Optimisation,,COMP0120 Numerical Optimisation,FALSE,200,0,,0,300,140,
COMP0121,Computational MRI,,COMP0121 Computational MRI,FALSE,60,60,65,65,65,65,
COMP0122,"MSc Computer Graphics, Vision and Imaging Project",,"COMP0122 MSc Computer Graphics, Vision and Imaging Project",FALSE,No data found,No data found,,0,0,0,
COMP0123,Complex Networks and Web,,COMP0123 Complex Networks and Web,FALSE,100,100,60,60,40,70,
COMP0124,Multi-agent Artificial Intelligence,,COMP0124 Multi-agent Artificial Intelligence,FALSE,300,0,288,288,360,288,
COMP0127,Robotic Systems Engineering,,COMP0127 Robotic Systems Engineering,FALSE,300,300,240,240,220,220,
COMP0128,Robotic Control Theory and Systems,,COMP0128 Robotic Control Theory and Systems,FALSE,200,150,200,200,180,240,
COMP0129,"Robotic Sensing, Manipulation and Interaction",,"COMP0129 Robotic Sensing, Manipulation and Interaction",FALSE,200,100,200,210,200,210,
COMP0130,Robot Vision and Navigation,,COMP0130 Robot Vision and Navigation,FALSE,108,108,108,138,108,136,
COMP0132,MSc Robotics and Computation Dissertation,,COMP0132 MSc Robotics and Computation Dissertation,FALSE,No data found,No data found,,0,0,0,
COMP0133,Distributed Systems and Security,,COMP0133 Distributed Systems and Security,FALSE,50,0,50,0,50,0,
COMP0135,Professional Practice,,COMP0135 Professional Practice,FALSE,No data found,No data found,,0,0,0,
COMP0137,Machine Vision,,COMP0137 Machine Vision,FALSE,440,440,440,362,440,320,
COMP0138,Individual Project for Year 4 MEng,,COMP0138 Individual Project for Year 4 MEng,FALSE,No data found,No data found,,0,0,0,
COMP0141,Security,,COMP0141 Security,FALSE,160,0,160,160,180,190,
COMP0142,Machine Learning for Domain Specialists,,COMP0142 Machine Learning for Domain Specialists,FALSE,250,201,320,320,440,480,
COMP0143,Cryptocurrencies,,COMP0143 Cryptocurrencies,FALSE,140,110,140,140,140,75,
COMP0145,Research Methods and Making Skills,,COMP0145 Research Methods and Making Skills,FALSE,130,130,115,115,95,95,
COMP0146,Entrepreneurship: Theory and Practice for Researchers,,COMP0146 Entrepreneurship: Theory and Practice for Researchers,FALSE,100,0,0,0,0,0,
COMP0147,Discrete Mathematics for Computer Scientists,,COMP0147 Discrete Mathematics for Computer Scientists,FALSE,244,200,168,220,180,170,
COMP0153,Inclusive Design and Environments,,COMP0153 Inclusive Design and Environments,FALSE,No data found,No data found,,0,0,0,
COMP0154,Future Global Technologies for Disability and Development,,COMP0154 Future Global Technologies for Disability and Development,FALSE,175,80,100,100,120,80,
COMP0157,Quantum Computation,,COMP0157 Quantum Computation,FALSE,60,52,60,60,60,148,
COMP0158,MSc Data Science and Machine Learning Project,,COMP0158 MSc Data Science and Machine Learning Project,FALSE,No data found,No data found,,0,0,0,
COMP0159,"MSc Disability, Design and Innovation Dissertation",,"COMP0159 MSc Disability, Design and Innovation Dissertation",FALSE,150,0,,0,0,0,
COMP0160,Perception and Interfaces,,COMP0160 Perception and Interfaces,FALSE,100,50,100,65,80,80,
COMP0161,Auditory Computing,,COMP0161 Auditory Computing,FALSE,100,0,100,15,No data found,No data found,
COMP0162,Advanced Machine Learning in Finance,,COMP0162 Advanced Machine Learning in Finance,FALSE,80,80,50,50,50,20,
COMP0163,Blockchain Technologies,,COMP0163 Blockchain Technologies,FALSE,100,100,80,80,60,80,
COMP0164,Digital Finance,,COMP0164 Digital Finance,FALSE,90,90,80,80,60,80,
COMP0165,Digital Technologies and Business Strategy,,COMP0165 Digital Technologies and Business Strategy,FALSE,100,100,100,100,35,35,
COMP0167,Innovation and Strategy in Finance,,COMP0167 Innovation and Strategy in Finance,FALSE,60,60,60,60,60,60,
COMP0168,Machine Learning Seminar,,COMP0168 Machine Learning Seminar,FALSE,120,120,120,120,120,80,
COMP0169,Machine Learning for Visual Computing,,COMP0169 Machine Learning for Visual Computing,FALSE,288,160,120,165,160,120,
COMP0171,Bayesian Deep Learning,,COMP0171 Bayesian Deep Learning,FALSE,80,35,80,80,120,40,
COMP0172,Artificial Intelligence for Biomedicine and Healthcare,,COMP0172 Artificial Intelligence for Biomedicine and Healthcare,FALSE,160,120,80,80,No data found,No data found,
COMP0173,Artificial Intelligence for Sustainable Development,,COMP0173 Artificial Intelligence for Sustainable Development,FALSE,110,110,80,116,No data found,No data found,
COMP0174,Practical Program Analysis,,COMP0174 Practical Program Analysis,FALSE,45,0,45,0,120,0,
COMP0175,Statistical Learning Theory,,COMP0175 Statistical Learning Theory,FALSE,No data found,No data found,0,0,No data found,No data found,
COMP0176,MSc Financial Technology Project,,COMP0176 MSc Financial Technology Project,FALSE,200,100,0,0,No data found,No data found,
COMP0177,MSc Emerging Digital Technologies Project,,COMP0177 MSc Emerging Digital Technologies Project,FALSE,200,100,0,0,No data found,No data found,
COMP0178,Database Fundamentals,,COMP0178 Database Fundamentals,FALSE,70,30,40,80,60,30,
COMP0181,Modelling and Designing Embedded Systems,,COMP0181 Modelling and Designing Embedded Systems,TRUE,126,96,0,0,No data found,No data found,
COMP0182,Real-world Multi-agent Systems,,COMP0182 Real-world Multi-agent Systems,TRUE,190,130,0,0,No data found,No data found,
COMP0183,Designing Sensor Systems,,COMP0183 Designing Sensor Systems,TRUE,160,80,0,0,No data found,No data found,
COMP0184,System Thinking through Speculative Design,,COMP0184 System Thinking through Speculative Design,TRUE,50,50,0,0,No data found,No data found,
COMP0186,Foundations of Artificial Intelligence,,COMP0186 Foundations of Artificial Intelligence,FALSE,136,123,60,120,No data found,No data found,
COMP0187,Probabilistic Modelling,,COMP0187 Probabilistic Modelling,FALSE,125,75,145,120,No data found,No data found,
COMP0188,Deep Representations and Learning,,COMP0188 Deep Representations and Learning,FALSE,279,240,75,105,No data found,No data found,
COMP0189,Applied Artificial Intelligence,,COMP0189 Applied Artificial Intelligence,FALSE,220,0,95,182,No data found,No data found,
COMP0190,Artificial Intelligence for Domain-Specific Applications Project Preparation,,COMP0190 Artificial Intelligence for Domain-Specific Applications Project Preparation,FALSE,70,70,90,80,No data found,No data found,
COMP0191,MSc Artificial Intelligence for Sustainable Development Project,,COMP0191 MSc Artificial Intelligence for Sustainable Development Project,FALSE,No data found,No data found,0,0,No data found,No data found,
COMP0192,MSc Artificial Intelligence for Biomedicine and Healthcare Project,,COMP0192 MSc Artificial Intelligence for Biomedicine and Healthcare Project,FALSE,No data found,No data found,0,0,No data found,No data found,
COMP0195,"Accountable, Transparent, and Responsible Artificial Intelligence",,"COMP0195 Accountable, Transparent, and Responsible Artificial Intelligence",FALSE,200,0,100,194,No data found,No data found,
COMP0196,Quantum Information and Communication,,COMP0196 Quantum Information and Communication,FALSE,30,30,0,0,No data found,No data found,
COMP0197,Applied Deep Learning,,COMP0197 Applied Deep Learning,FALSE,200,112,200,200,No data found,No data found,
COMP0198,Machine Learning with Applications in Finance,,COMP0198 Machine Learning with Applications in Finance,FALSE,80,80,80,80,No data found,No data found,
COMP0199,Intermediate Mathematics for Computer Science,,COMP0199 Intermediate Mathematics for Computer Science,FALSE,106,83,60,100,No data found,No data found,
COMP0200,Policy and Regulation for Financial Technology,,COMP0200 Policy and Regulation for Financial Technology,FALSE,40,0,80,80,No data found,No data found,
COMP0201,Software Engineering and Product Management in Financial Technology,,COMP0201 Software Engineering and Product Management in Financial Technology,FALSE,80,80,80,160,No data found,No data found,
COMP0202,Mathematics for Robotics and Artificial Intelligence 1,,COMP0202 Mathematics for Robotics and Artificial Intelligence 1,TRUE,165,130,0,0,No data found,No data found,
COMP0203,Introduction to Mechanical Systems,,COMP0203 Introduction to Mechanical Systems,TRUE,170,0,0,0,No data found,No data found,
COMP0204,Introduction to Programming for Robotics and Artificial Intelligence,,COMP0204 Introduction to Programming for Robotics and Artificial Intelligence,TRUE,210,180,0,0,No data found,No data found,
COMP0205,Mechatronics and Making,,COMP0205 Mechatronics and Making,TRUE,150,65,0,0,No data found,No data found,
COMP0206,Mathematics for Robotics and Artificial Intelligence 2,,COMP0206 Mathematics for Robotics and Artificial Intelligence 2,TRUE,165,65,0,0,No data found,No data found,
COMP0207,Introduction to Electronics,,COMP0207 Introduction to Electronics,TRUE,140,60,0,0,No data found,No data found,
COMP0208,Control 1,,COMP0208 Control 1,TRUE,170,140,0,0,No data found,No data found,
COMP0209,Data Structures and Algorithms,,COMP0209 Data Structures and Algorithms,TRUE,120,0,0,0,No data found,No data found,
COMP0210,Research Computing with C++,,COMP0210 Research Computing with C++,FALSE,170,0,0,0,No data found,No data found,
COMP0232,Innovation for a Fairer World,,COMP0232 Innovation for a Fairer World,FALSE,No data found,No data found,0,0,No data found,No data found,
COMP0233,Research Software Engineering with Python,,COMP0233 Research Software Engineering with Python,FALSE,170,85,120,120,No data found,No data found,
COMP0234,MSc Systems Engineering for the Internet of Things Project,,COMP0234 MSc Systems Engineering for the Internet of Things Project,TRUE,126,0,0,0,No data found,No data found,
COMP0235,Engineering for Data Analysis 1,,COMP0235 Engineering for Data Analysis 1,TRUE,120,0,0,0,No data found,No data found,
COMP0236,Cybersafety and Online Harms,,COMP0236 Cybersafety and Online Harms,TRUE,70,35,0,0,No data found,No data found,
COMP0237,Automated Software Engineering,,COMP0237 Automated Software Engineering,TRUE,80,80,0,0,No data found,No data found,
COMP0238,Advanced Mathematics for Computer Science,,COMP0238 Advanced Mathematics for Computer Science,TRUE,106,83,0,0,No data found,No data found,
COMP0239,Engineering for Data Analysis 2,,COMP0239 Engineering for Data Analysis 2,TRUE,80,0,0,0,No data found,No data found,
ENGF0032_T1,Design and Professional Skills,Term 1,ENGF0032_T1 Design and Professional Skills (Term 1 ),FALSE,209,0,209,0,No data found,No data found,"The same module is taught in two terms, historically the budget for both terms was treated as a single item"
ENGF0032_T2,Design and Professional Skills,Term 2,ENGF0032_T2 Design and Professional Skills (Term 2 ),FALSE,80,40,80,0,No data found,No data found,
BENG0095,Data Mining and Analysis,,BENG0095 Data Mining and Analysis,FALSE,160,100,160,0,160,160,
Design Club,Design Club,,Design Club,FALSE,60,60,60,,60,0,
